,created_at,text,user_id
32,Sat Mar 14 04:43:20 +0000 2020,RT @Piki_pictures: [#\uac9c\ucc98\ub3cc]\n\ud654\uc774\ud2b8\ub370\uc774\uc5d0 \uc120\ubb3c\ucc98\ub7fc \ucc3e\uc544\uc640 \uc6b0\ub2f9\ud0d5\ud0d5 \ub09c\uc7a5\ud310 \uccb4\ud5d8\ud558\uace0 \uac04 CIX!\n\uc7a0\uc2dc \ud6c4 \ubc24 10\uc2dc,1154073782857768960
33,Sat Mar 14 04:43:20 +0000 2020,RT @kiaudn: the adhaan today in Kuwait was changed due to the coronavirus.\n \ninstead of \u201chayya alas-salah\u201d (come to prayer),858336780
34,Sat Mar 14 04:43:20 +0000 2020,RT @chlochIo: Today I found out the Nando\u2019s typeface was created by a black sign writer and artist,347975630
35,Sat Mar 14 04:43:20 +0000 2020,"RT @plalor: BREAKING. NZ just cancelled ODI series. Going home today. No game tomorrow in Sydney or Hobart after that. https:\/\/t.co\/t8GnRD4\u2026""",2170534133
36,Sat Mar 14 04:43:20 +0000 2020,"RT @xoxotmdxoxo: Interesting that a Chinese person would help Americans when most of y\u2019all are fucking assholes""",215096458
37,Sat Mar 14 04:43:20 +0000 2020,"RT @DerekCressman: 'Why is he shaking all their hands?': Trump breaks coronavirus rules as he parades CEOs for 'infomercial' press conferen\u2026""",975656262
38,Sat Mar 14 04:43:19 +0000 2020,"Every school in DC today""",1106446334423388161
39,Sat Mar 14 04:43:20 +0000 2020,RT @RamenhaeMXMB: \u203c\ufe0f ATTENTION MONBEBES \u203c\ufe0f\nWe are celebrating but antis are out of the holes and fuming,876816106513551360
40,Sat Mar 14 04:43:20 +0000 2020,RT @flawlindss_: I found out today that my dog,774451998246658048
41,Sat Mar 14 04:43:20 +0000 2020,RT @RealJamesWoods: Well,935647316480053250
42,Sat Mar 14 04:43:20 +0000 2020,"Exam day today!! #MAHCET""",972114733431164929
43,Sat Mar 14 04:43:20 +0000 2020,RT @kiaudn: the adhaan today in Kuwait was changed due to the coronavirus.\n \ninstead of \u201chayya alas-salah\u201d (come to prayer),241365180
44,Sat Mar 14 04:43:20 +0000 2020,"RT @SB19Official: Met Ailee today at The Theatre at Solaire for Singing Legends. What an amazing opportunity to have met such a talented an\u2026""",1221468274208100354
45,Sat Mar 14 04:43:20 +0000 2020,"RT @DebKilroy: We were on the same plane as Peter Dutton so we had to be tested for #COVID19Aus today when we arrived back in the country &amp;\u2026""",21128334
46,Sat Mar 14 04:43:20 +0000 2020,"RT @NYGovCuomo: Today I asked the Department of Public Service to direct utilities not to cut off service to any person who hasn\u2019t paid the\u2026""",20790611
47,Sat Mar 14 04:43:20 +0000 2020,RT @flawlindss_: I found out today that my dog,1059937092439080960
48,Sat Mar 14 04:43:20 +0000 2020,RT @McFaul: For many decades,900209423116902401
49,Sat Mar 14 04:43:20 +0000 2020,"RT @SavingHongKong: \""Stop lying to the world.\""\n\""#China lies",1098206494284177408
50,Sat Mar 14 04:43:20 +0000 2020,"RT @RecordExchange: @treefortfest Five #treefort2020 artists released albums today! That only made us more excited for September.""",316203092
51,Sat Mar 14 04:43:20 +0000 2020,"Woke up at 9am today &amp; im already halfway done with my report which isnt even due in weeks :\u2019)""",339771039
52,Sat Mar 14 04:43:20 +0000 2020,"Finally getting back into #Grandia. Today I flew on a manta (?) to get onto a warship #NintendoSwitch https:\/\/t.co\/hxXkhJpqud""",2445478213
53,Sat Mar 14 04:43:20 +0000 2020,"RT @ChrisJansing: I spent two and a half years covering the WH. MANY press conferences. Reporters\u2019 microphones were never cut off.  But  to\u2026""",20887502
54,Sat Mar 14 04:43:20 +0000 2020,RT @vicxonehsw: can they announce x1 unit today? it feels weird to only stan only one group... and soloists,2573860518
55,Sat Mar 14 04:43:20 +0000 2020,RT @bstwings_views: BTS' 'ON' may be nominated for 1st place on Music Core later today . Live text voting will be part of the final score,919848790001049600
56,Sat Mar 14 04:43:20 +0000 2020,"Follow-up: started another playthrough today and it felt every bit as good as I hoped""",748336351863398401
57,Sat Mar 14 04:43:21 +0000 2020,"Hahahaha!""",153847955
58,Sat Mar 14 04:43:21 +0000 2020,"RT @JuddLegum: It's really outrageous that the Senate has recessed for the weekend. We are in the middle of a pandemic and the House is set\u2026""",940090172
59,Sat Mar 14 04:43:21 +0000 2020,"i hope reggie had a good day today""",3063461420
60,Sat Mar 14 04:43:21 +0000 2020,Just finished Dark Waters,375211205
61,Sat Mar 14 04:43:21 +0000 2020,https:\/\/t.co\/BvbC5WoLr3 Esto que veran aqui es hace 5 A\u00f1os,956669511192731648
62,Sat Mar 14 04:43:21 +0000 2020,"happy i got to play some minecraft with @AmbATamb and @muttblookus today at least. this unemployed shit ain\u2019t too b\u2026 https:\/\/t.co\/pJQ6stcr6h""",91465757
63,Sat Mar 14 04:43:21 +0000 2020,All Electricity,1022664166341931013
64,Sat Mar 14 04:43:21 +0000 2020,RT @KevinMKruse: You\u2019re all following @Yamiche,214760518
65,Sat Mar 14 04:43:21 +0000 2020,"LIAR IT'S TODAY !""",1075281015050952704
66,Sat Mar 14 04:43:21 +0000 2020,"RT @lauvsongs: i will not let my mind fuck me up today""",1220956560244932609
67,Sat Mar 14 04:43:21 +0000 2020,RT @SteveSchmidtSES: WORTH REPEATING INDEED.  IN 2018,305934961
68,Sat Mar 14 04:43:21 +0000 2020,"RT @ChrisJansing: I spent two and a half years covering the WH. MANY press conferences. Reporters\u2019 microphones were never cut off.  But  to\u2026""",769625312799883264
