laughter,Surprise,1
lawsuit,Surprise,1
leave,Surprise,1
leery,Surprise,1
leisure,Surprise,1
liberate,Surprise,1
liberation,Surprise,1
liberty,Surprise,1
lightning,Surprise,1
lose,Surprise,1
lovely,Surprise,1
loyal,Surprise,1
luck,Surprise,1
lucky,Surprise,1
lunge,Surprise,1
magical,Surprise,1
magician,Surprise,1
magnificent,Surprise,1
majestic,Surprise,1
manslaughter,Surprise,1
marry,Surprise,1
marvel,Surprise,1
medal,Surprise,1
memorable,Surprise,1
merriment,Surprise,1
mimicry,Surprise,1
miracle,Surprise,1
miraculous,Surprise,1
misbehavior,Surprise,1
mishap,Surprise,1
modify,Surprise,1
money,Surprise,1
monstrosity,Surprise,1
morals,Surprise,1
mouth,Surprise,1
murder,Surprise,1
murderous,Surprise,1
musical,Surprise,1
mutiny,Surprise,1
mysterious,Surprise,1
mystery,Surprise,1
mystic,Surprise,1
nab,Surprise,1
nefarious,Surprise,1
newcomer,Surprise,1
nullify,Surprise,1
obit,Surprise,1
obliging,Surprise,1
occasional,Surprise,1
oddity,Surprise,1
opera,Surprise,1
optimism,Surprise,1
ordeal,Surprise,1
organization,Surprise,1
originality,Surprise,1
outburst,Surprise,1
outcry,Surprise,1
outrageous,Surprise,1
overdue,Surprise,1
overestimate,Surprise,1
palpable,Surprise,1
pang,Surprise,1
parade,Surprise,1
paralyzed,Surprise,1
peaceful,Surprise,1
perchance,Surprise,1
perfection,Surprise,1
peri,Surprise,1
perjury,Surprise,1
picnic,Surprise,1
pitfall,Surprise,1
placard,Surprise,1
playful,Surprise,1
playground,Surprise,1
pleasant,Surprise,1
plunder,Surprise,1
polarity,Surprise,1
pop,Surprise,1
postponement,Surprise,1
practiced,Surprise,1
praiseworthy,Surprise,1
prank,Surprise,1
pray,Surprise,1
precious,Surprise,1
premature,Surprise,1
present,Surprise,1
preservative,Surprise,1
presto,Surprise,1
prick,Surprise,1
princely,Surprise,1
procession,Surprise,1
proficiency,Surprise,1
prowl,Surprise,1
puma,Surprise,1
punch,Surprise,1
purity,Surprise,1
quickness,Surprise,1
quicksilver,Surprise,1
quote,Surprise,1
raffle,Surprise,1
raid,Surprise,1
randomly,Surprise,1
rapid,Surprise,1
rapt,Surprise,1
rarity,Surprise,1
rave,Surprise,1
